split,metric,uncalibrated,calibrated,delta
val,nll,1.145784854888916,0.9145631790161133,-0.23122167587280273
val,brier,0.5475360751152039,0.48937177658081055,-0.05816429853439331
val,ece,0.20787708574796096,0.04632339568125658,-0.1615536900667044
test,nll,1.1451466083526611,0.9498450756072998,-0.19530153274536133
test,brier,0.5777345299720764,0.5131851434707642,-0.06454938650131226
test,ece,0.20579312910103967,0.02497263615403813,-0.18082049294700153
