mode,best_epoch,temperature,val_macro_f1_cal,val_accuracy_cal,test_macro_f1_cal,test_accuracy_cal,test_ece_cal
audio_only,23,2.0589141845703125,0.6500551585913112,0.6534727408513816,0.6218562452324377,0.6152356358941252,0.03217523827369633
fusion,2,2.047760248184204,0.6463294732223568,0.648991784914115,0.6317374381025316,0.6249193027759845,0.02497263615403813
text_only,4,1.1896777153015137,0.31781939789105024,0.3547423450336072,0.34992464217637237,0.3983214977404777,0.04712895982645649
