run,best_epoch,temperature,val_macro_f1,test_macro_f1,test_accuracy,test_ece
fusion_exp01,2,2.047760248184204,0.6463294732223568,0.6317374381025316,0.6249193027759845,0.02497263615403813
tune_a,4,2.0683419704437256,0.6428293945148494,0.6280141628789777,0.6210458360232408,0.03250403651273812
tune_b,7,2.0172598361968994,0.645849895721332,0.6274309028073943,0.6204002582311169,0.03956651327839353
tune_c,3,1.9601458311080933,0.6479653142669249,0.6248812676205646,0.617817947062621,0.038807031510336466
